country,city,name,category,interest_tags,typical_duration_hours,best_time_of_day,source_type,notes
Hungary,Eger,Eger Castle,history,"history,viewpoint",2,morning,curated,Medieval castle that resisted Ottomans
Hungary,Eger,Valley of Beautiful Women,food,"wine,food,culture",2,afternoon,curated,Wine cellars carved into hillside
Hungary,Lake Balaton,Tihany Peninsula,nature,"nature,viewpoint,village",3,afternoon,curated,Peninsula with abbey and lavender
Czech Republic,Prague,Prague Castle,history,"history,architecture,viewpoint",3,morning,curated,Largest ancient castle complex in world
Czech Republic,Prague,Charles Bridge,city,"history,photography,culture",1,sunrise,curated,Gothic bridge with baroque statues
Czech Republic,Prague,Old Town Square,city,"city,history,architecture",2,afternoon,curated,Medieval square with Astronomical Clock
Czech Republic,Prague,Jewish Quarter,history,"history,culture,synagogues",2,afternoon,curated,Historic Jewish ghetto with synagogues
Czech Republic,Prague,Lennon Wall,city,"culture,art,photography",0.5,anytime,curated,Graffiti wall tribute to John Lennon
Czech Republic,Cesky Krumlov,Historic Center,old_town,"history,unesco,medieval,photography",4,afternoon,curated,Perfectly preserved medieval town
Czech Republic,Cesky Krumlov,Castle,history,"history,viewpoint,gardens",2,morning,curated,13th century castle with baroque theater
Czech Republic,Karlovy Vary,Colonnades,spa,"spa,architecture,culture",2,morning,curated,Elegant spa colonnades with thermal springs
Cyprus,Nicosia,Old Town,old_town,"history,culture,city",3,afternoon,curated,Divided capital with Venetian walls
Cyprus,Paphos,Archaeological Park,history,"history,archaeology,unesco",3,morning,curated,Ancient mosaics and Roman ruins
Cyprus,Paphos,Tombs of the Kings,history,"history,archaeology,unesco",1.5,morning,curated,Underground tombs from 4th century BC
Cyprus,Limassol,Old Town,old_town,"city,food,culture",2,afternoon,curated,Historic center with castle and market
Albania,Tirana,Skanderbeg Square,city,"city,history,culture",1,afternoon,curated,Main square with colorful buildings
Albania,Tirana,Bunk'Art,museum,"history,culture,unique",2,afternoon,curated,Cold War bunker turned museum
Albania,Berat,Berat Castle,history,"history,unesco,viewpoint",2,morning,curated,Inhabited castle with Byzantine churches
Albania,Berat,Mangalem Quarter,old_town,"history,unesco,photography",3,afternoon,curated,Ottoman quarter with white houses
Albania,Gjirokaster,Gjirokaster Castle,history,"history,unesco,viewpoint",2,morning,curated,Fortress with museum and views
Albania,Gjirokaster,Old Bazaar,market,"shopping,culture,history",1.5,afternoon,curated,Traditional bazaar with handicrafts
Albania,Saranda,Ksamil Beaches,beach,"beach,nature,relaxation",4,morning,curated,White sand beaches and turquoise water
