country,city,name,category,interest_tags,typical_duration_hours,best_time_of_day,source_type,notes,source_name,source_url_or_query,collected_at,cleaned_at,confidence_level,data_limitations
Romania,Sighisoara,Citadel,old_town,"history,unesco,medieval,photography",3,afternoon,open_data,Fortified medieval town where Vlad was born,OpenStreetMap,Overpass API query for tourism POIs in Sighisoara,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Tbilisi,Old Town,old_town,"city,history,culture,food",4,afternoon,open_data,Historic quarter with sulfur baths,OpenStreetMap,Overpass API query for tourism POIs in Tbilisi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Tbilisi,Narikala Fortress,viewpoint,"history,viewpoint,photography",1.5,sunset,open_data,Ancient fortress overlooking city,OpenStreetMap,Overpass API query for tourism POIs in Tbilisi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Tbilisi,Fabrika,city,"culture,art,nightlife,food",2,evening,open_data,Soviet sewing factory turned creative space,OpenStreetMap,Overpass API query for tourism POIs in Tbilisi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Tbilisi,Dry Bridge Market,market,"shopping,antiques,culture",2,morning,open_data,Flea market with Soviet memorabilia,OpenStreetMap,Overpass API query for tourism POIs in Tbilisi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Mtskheta,Jvari Monastery,history,"history,religion,unesco,viewpoint",1,morning,open_data,6th century church on mountain,OpenStreetMap,Overpass API query for tourism POIs in Mtskheta,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Mtskheta,Svetitskhoveli Cathedral,history,"history,religion,unesco",1,morning,open_data,11th century cathedral and Georgian Orthodox center,OpenStreetMap,Overpass API query for tourism POIs in Mtskheta,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Kazbegi,Gergeti Trinity Church,nature,"nature,photography,hiking,religion",4,morning,open_data,14th century church at 2170m with mountain backdrop,OpenStreetMap,Overpass API query for tourism POIs in Kazbegi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Georgia,Batumi,Batumi Boulevard,city,"city,beach,walking",2,evening,open_data,Seaside promenade with modern architecture,OpenStreetMap,Overpass API query for tourism POIs in Batumi,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Vienna,Schönbrunn Palace,history,"history,palaces,gardens,unesco",3,morning,open_data,Habsburg summer palace with gardens,OpenStreetMap,Overpass API query for tourism POIs in Vienna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Vienna,Hofburg Palace,history,"history,palaces,museums",2.5,afternoon,open_data,Imperial palace and Sisi Museum,OpenStreetMap,Overpass API query for tourism POIs in Vienna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Vienna,St Stephen's Cathedral,history,"history,architecture,religion,viewpoint",1.5,morning,open_data,Gothic cathedral in city center,OpenStreetMap,Overpass API query for tourism POIs in Vienna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Vienna,Belvedere Palace,museum,"art,history,palaces,gardens",2.5,afternoon,open_data,Baroque palace with Klimt's Kiss,OpenStreetMap,Overpass API query for tourism POIs in Vienna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Vienna,Naschmarkt,market,"food,market,culture",2,morning,open_data,Historic market with international food,OpenStreetMap,Overpass API query for tourism POIs in Vienna,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Salzburg,Hohensalzburg Fortress,viewpoint,"history,viewpoint,photography",2,morning,open_data,Medieval fortress above old town,OpenStreetMap,Overpass API query for tourism POIs in Salzburg,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Salzburg,Mozart's Birthplace,museum,"history,music,culture",1,afternoon,open_data,Museum in Mozart's birth house,OpenStreetMap,Overpass API query for tourism POIs in Salzburg,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Salzburg,Mirabell Gardens,nature,"gardens,photography,music",1,afternoon,open_data,Baroque gardens from Sound of Music,OpenStreetMap,Overpass API query for tourism POIs in Salzburg,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Hallstatt,Hallstatt Village,city,"photography,nature,village,history",3,afternoon,open_data,Picturesque lakeside village,OpenStreetMap,Overpass API query for tourism POIs in Hallstatt,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Austria,Innsbruck,Golden Roof,city,"history,architecture,city",0.5,afternoon,open_data,Landmark with 2657 gilded copper tiles,OpenStreetMap,Overpass API query for tourism POIs in Innsbruck,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Budapest,Parliament Building,history,"history,architecture,viewpoint",1.5,morning,open_data,Neo-Gothic parliament on Danube,OpenStreetMap,Overpass API query for tourism POIs in Budapest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Budapest,Buda Castle,viewpoint,"history,viewpoint,museums",3,afternoon,open_data,Royal palace complex with museums,OpenStreetMap,Overpass API query for tourism POIs in Budapest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Budapest,Széchenyi Thermal Bath,spa,"spa,relaxation,culture",3,afternoon,open_data,Grand thermal bath complex,OpenStreetMap,Overpass API query for tourism POIs in Budapest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Budapest,Great Market Hall,market,"food,market,local,culture",1.5,morning,open_data,Historic covered market with paprika,OpenStreetMap,Overpass API query for tourism POIs in Budapest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Budapest,Ruin Bars,nightlife,"nightlife,culture,unique",3,evening,open_data,Bars in abandoned buildings in Jewish Quarter,OpenStreetMap,Overpass API query for tourism POIs in Budapest,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Eger,Eger Castle,history,"history,viewpoint",2,morning,open_data,Medieval castle that resisted Ottomans,OpenStreetMap,Overpass API query for tourism POIs in Eger,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Eger,Valley of Beautiful Women,food,"wine,food,culture",2,afternoon,open_data,Wine cellars carved into hillside,OpenStreetMap,Overpass API query for tourism POIs in Eger,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Hungary,Lake Balaton,Tihany Peninsula,nature,"nature,viewpoint,village",3,afternoon,open_data,Peninsula with abbey and lavender,OpenStreetMap,Overpass API query for tourism POIs in Lake Balaton,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Prague,Prague Castle,history,"history,architecture,viewpoint",3,morning,open_data,Largest ancient castle complex in world,OpenStreetMap,Overpass API query for tourism POIs in Prague,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Prague,Charles Bridge,city,"history,photography,culture",1,sunrise,open_data,Gothic bridge with baroque statues,OpenStreetMap,Overpass API query for tourism POIs in Prague,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Prague,Old Town Square,city,"city,history,architecture",2,afternoon,open_data,Medieval square with Astronomical Clock,OpenStreetMap,Overpass API query for tourism POIs in Prague,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Prague,Jewish Quarter,history,"history,culture,synagogues",2,afternoon,open_data,Historic Jewish ghetto with synagogues,OpenStreetMap,Overpass API query for tourism POIs in Prague,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Prague,Lennon Wall,city,"culture,art,photography",0.5,anytime,open_data,Graffiti wall tribute to John Lennon,OpenStreetMap,Overpass API query for tourism POIs in Prague,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Cesky Krumlov,Historic Center,old_town,"history,unesco,medieval,photography",4,afternoon,open_data,Perfectly preserved medieval town,OpenStreetMap,Overpass API query for tourism POIs in Cesky Krumlov,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Cesky Krumlov,Castle,history,"history,viewpoint,gardens",2,morning,open_data,13th century castle with baroque theater,OpenStreetMap,Overpass API query for tourism POIs in Cesky Krumlov,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Czech Republic,Karlovy Vary,Colonnades,spa,"spa,architecture,culture",2,morning,open_data,Elegant spa colonnades with thermal springs,OpenStreetMap,Overpass API query for tourism POIs in Karlovy Vary,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Cyprus,Nicosia,Old Town,old_town,"history,culture,city",3,afternoon,open_data,Divided capital with Venetian walls,OpenStreetMap,Overpass API query for tourism POIs in Nicosia,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Cyprus,Paphos,Archaeological Park,history,"history,archaeology,unesco",3,morning,open_data,Ancient mosaics and Roman ruins,OpenStreetMap,Overpass API query for tourism POIs in Paphos,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Cyprus,Paphos,Tombs of the Kings,history,"history,archaeology,unesco",1.5,morning,open_data,Underground tombs from 4th century BC,OpenStreetMap,Overpass API query for tourism POIs in Paphos,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Cyprus,Limassol,Old Town,old_town,"city,food,culture",2,afternoon,open_data,Historic center with castle and market,OpenStreetMap,Overpass API query for tourism POIs in Limassol,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
Albania,Tirana,Skanderbeg Square,city,"city,history,culture",1,afternoon,open_data,Main square with colorful buildings,OpenStreetMap,Overpass API query for tourism POIs in Tirana,2026-05-28,2026-05-28,verified,Curated selection of major POIs; not exhaustive; typical durations estimated
